Rank,Modelo,MAE,MSE,RMSE,R2,MAPE (%)
1,Lasso,23.532855908318293,962.5305579011601,31.024676596238034,0.887648405659075,5.562820498060484
2,Ridge,23.847970572657307,977.0404685483053,31.2576465612545,0.8859547330981685,5.613170788992396
3,Regressao Linear,24.69185154388132,1054.2412369902386,32.469081246475675,0.8769434561598977,5.82143266274071
4,SVR,27.739881287930388,1301.6778904005582,36.07877340487836,0.8480613575285033,6.514481282306144
5,Gradient Boosting,28.89419981151292,1467.218884896651,38.30429329587809,0.8287385479743071,6.782121597598829
6,Random Forest,29.117202739726068,1508.3124917876723,38.8369990059437,0.8239418875321775,6.8381295649184315
7,Polinomial Grau 2,41.726133896104464,4573.736811894376,67.6294078925313,0.46612954914115,9.34060693464346
8,Polinomial Grau 3,57.48071656515398,12407.743898472048,111.39005296018154,-0.4482966776732391,12.793326468052413
